event_a,event_b,shared_scenarios_count,shared_scenarios,jaccard_similarity,total_scenarios_a,total_scenarios_b
CSMoveUnitPacket,PingPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
CSMoveUnitPacket,PongPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
CSMoveUnitPacket,SCChatMessagePacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
CSMoveUnitPacket,SCOneUnitMovementPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
CSMoveUnitPacket,SCUnitModelPostureChangedPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
CSMoveUnitPacket,lifecycle:trace_started,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
CSMoveUnitPacket,packet:packet_in,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
CSMoveUnitPacket,packet:packet_out,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PingPacket,PongPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PingPacket,SCChatMessagePacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PingPacket,SCOneUnitMovementPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PingPacket,SCUnitModelPostureChangedPacket,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
PingPacket,lifecycle:trace_started,14,"buy_chick,combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable",1.0,14,14
