event_key,category,event,count,scenarios_seen,first_seen,last_seen
packet:packet_out,packet,packet_out,41634,14,2026-09-14T07:24:41.9098273Z,2026-09-14T19:45:33.2666328Z
packet:packet_in,packet,packet_in,7640,14,2026-09-14T07:24:41.9098544Z,2026-09-14T19:45:33.2432258Z
movement:movement_update,movement,movement_update,247,5,2026-09-14T19:38:58.2455015Z,2026-09-14T19:44:38.7239118Z
skill:skill_requested,skill,skill_requested,146,9,2026-09-14T19:39:04.3856651Z,2026-09-14T19:45:20.8477629Z
movement:move_begin,movement,move_begin,92,9,2026-09-14T19:38:57.9310526Z,2026-09-14T07:27:16.3621973Z
movement:move_stop,movement,move_stop,92,9,2026-09-14T19:38:58.6055090Z,2026-09-14T07:27:16.5044638Z
skill:instant_cast,skill,instant_cast,91,6,2026-09-14T19:39:04.3940317Z,2026-09-14T19:45:20.8478616Z
lifecycle:trace_started,lifecycle,trace_started,14,14,2026-09-14T07:24:41.9097764Z,2026-09-14T19:45:18.0980002Z
lifecycle:trace_stopped,lifecycle,trace_stopped,13,13,2026-09-14T07:24:51.0533667Z,2026-09-14T19:45:33.3034555Z
world:doodad_phase_changed,world,doodad_phase_changed,8,4,2026-09-14T07:25:23.7477248Z,2026-09-14T07:25:02.5211654Z
refusal:skill_refused,refusal,skill_refused,6,1,2026-09-14T19:43:26.6997610Z,2026-09-14T19:43:27.3713231Z
resource:money_changed,resource,money_changed,4,4,2026-09-14T07:24:45.8178502Z,2026-09-14T07:25:46.0578328Z
interaction:doodad_use,interaction,doodad_use,4,3,2026-09-14T07:25:23.7088935Z,2026-09-14T07:23:50.3230556Z
skill:cast_started,skill,cast_started,3,3,2026-09-14T07:25:17.1953707Z,2026-09-14T07:23:46.2632004Z
resource:labor_changed,resource,labor_changed,2,2,2026-09-14T07:25:23.7643008Z,2026-09-14T07:23:50.3856632Z
world:doodad_created,world,doodad_created,2,2,2026-09-14T07:10:48.2507363Z,2026-09-14T07:25:02.5326587Z
marker:mark,marker,mark,1,1,2026-09-14T07:11:10.1073710Z,2026-09-14T07:11:10.1073710Z
