packet,direction,observed_count,scenarios_seen,observed,known_to_repo,source_path,opcode,status
SCOneUnitMovementPacket,S2C,30483,14,True,True,AAEmu.Game/Core/Packets/G2C/SCOneUnitMovementPacket.cs,0x06C,OBSERVED_AND_KNOWN
FastPingPacket,PROXY,4086,3,True,True,AAEmu.Game/Core/Packets/Proxy/FastPingPacket.cs,0x015,OBSERVED_AND_KNOWN
FastPongPacket,PROXY,4086,3,True,True,AAEmu.Game/Core/Packets/Proxy/FastPongPacket.cs,0x016,OBSERVED_AND_KNOWN
PingPacket,PROXY,1895,14,True,True,AAEmu.Game/Core/Packets/Proxy/PingPacket.cs,0x012,OBSERVED_AND_KNOWN
PongPacket,PROXY,1895,14,True,True,AAEmu.Game/Core/Packets/Proxy/PongPacket.cs,0x013,OBSERVED_AND_KNOWN
SCTargetChangedPacket,S2C,1765,12,True,True,AAEmu.Game/Core/Packets/G2C/SCTargetChangedPacket.cs,0x084,OBSERVED_AND_KNOWN
SCUnitModelPostureChangedPacket,S2C,1502,14,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitModelPostureChangedPacket.cs,0x103,OBSERVED_AND_KNOWN
CSMoveUnitPacket,C2S,1399,14,True,True,AAEmu.Game/Core/Packets/C2G/CSMoveUnitPacket.cs,0x089,OBSERVED_AND_KNOWN
SCUnitPointsPacket,S2C,577,10,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitPointsPacket.cs,0x0BA,OBSERVED_AND_KNOWN
CompressedGamePackets,UNKNOWN,187,4,True,True,AAEmu.Game/Core/Packets/CompressedGamePackets.cs,0x000,OBSERVED_AND_KNOWN
SCSkillEndedPacket,S2C,168,10,True,True,AAEmu.Game/Core/Packets/G2C/SCSkillEndedPacket.cs,0x0A3,OBSERVED_AND_KNOWN
SCSkillFiredPacket,S2C,165,10,True,True,AAEmu.Game/Core/Packets/G2C/SCSkillFiredPacket.cs,0x0A2,OBSERVED_AND_KNOWN
CSStartSkillPacket,C2S,146,9,True,True,AAEmu.Game/Core/Packets/C2G/CSStartSkillPacket.cs,0x052,OBSERVED_AND_KNOWN
SCAiAggroPacket,S2C,115,7,True,True,AAEmu.Game/Core/Packets/G2C/SCAiAggroPacket.cs,0x1C4,OBSERVED_AND_KNOWN
SCChatMessagePacket,S2C,79,14,True,True,AAEmu.Game/Core/Packets/G2C/SCChatMessagePacket.cs,0x0CE,OBSERVED_AND_KNOWN
SCDoodadsCreatedPacket,S2C,66,4,True,True,AAEmu.Game/Core/Packets/G2C/SCDoodadsCreatedPacket.cs,0x112,OBSERVED_AND_KNOWN
SCDoodadsRemovedPacket,S2C,66,4,True,True,AAEmu.Game/Core/Packets/G2C/SCDoodadsRemovedPacket.cs,0x113,OBSERVED_AND_KNOWN
SCUnitStatePacket,S2C,58,4,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitStatePacket.cs,0x069,OBSERVED_AND_KNOWN
SCBuffCreatedPacket,S2C,52,3,True,True,AAEmu.Game/Core/Packets/G2C/SCBuffCreatedPacket.cs,0x0B6,OBSERVED_AND_KNOWN
SCUnitHealedPacket,S2C,51,2,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitHealedPacket.cs,0x0A8,OBSERVED_AND_KNOWN
SCTimeOfDayPacket,S2C,49,13,True,True,AAEmu.Game/Core/Packets/G2C/SCTimeOfDayPacket.cs,0x0F0,OBSERVED_AND_KNOWN
SCBuffRemovedPacket,S2C,37,3,True,True,AAEmu.Game/Core/Packets/G2C/SCBuffRemovedPacket.cs,0x0B7,OBSERVED_AND_KNOWN
SCUnitsRemovedPacket,S2C,35,3,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitsRemovedPacket.cs,0x06A,OBSERVED_AND_KNOWN
SCItemTaskSuccessPacket,S2C,25,10,True,True,AAEmu.Game/Core/Packets/G2C/SCItemTaskSuccessPacket.cs,0x090,OBSERVED_AND_KNOWN
CSChangeTargetPacket,C2S,24,9,True,True,AAEmu.Game/Core/Packets/C2G/CSChangeTargetPacket.cs,0x02C,OBSERVED_AND_KNOWN
CSCreateSkillControllerPacket,C2S,24,4,True,True,AAEmu.Game/Core/Packets/C2G/CSCreateSkillControllerPacket.cs,0x08B,OBSERVED_AND_KNOWN
SCUnitDamagedPacket,S2C,23,2,True,True,AAEmu.Game/Core/Packets/G2C/SCUnitDamagedPacket.cs,0x0A7,OBSERVED_AND_KNOWN
CSSendChatMessagePacket,C2S,17,10,True,True,AAEmu.Game/Core/Packets/C2G/CSSendChatMessagePacket.cs,0x063,OBSERVED_AND_KNOWN
