from_token,to_token,count,scenarios_count,scenarios
FastPongPacket,FastPingPacket,4078,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
FastPingPacket,FastPongPacket,2575,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCTargetChangedPacket,movement,1720,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,human_potato_plant,pick_potato,quest_accept_and_turnin,use_bag_consumable"
movement,FastPongPacket,1239,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
movement,SCTargetChangedPacket,1220,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable"
FastPingPacket,movement,844,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
FastPingPacket,SCTargetChangedPacket,454,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCUnitPointsPacket,SCSkillFiredPacket,165,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
movement,SCUnitPointsPacket,153,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,pick_potato,quest_accept_and_turnin"
CompressedGamePackets,SCSkillEndedPacket,129,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
movement,skill:skill_requested,123,9,"combat_basic_melee,combat_basic_ranged,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
FastPingPacket,SCUnitPointsPacket,117,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
skill:instant_cast,SCUnitPointsPacket,91,6,"combat_basic_melee,combat_basic_ranged,mount_horse,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
SCSkillEndedPacket,movement,87,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,pick_potato,quest_accept_and_turnin"
CSStartSkillPacket,FastPongPacket,86,2,"combat_basic_ranged,quest_accept_and_turnin"
SCSkillFiredPacket,SCUnitPointsPacket,84,3,"combat_basic_melee,quest_accept_and_turnin,use_bag_consumable"
SCAiAggroPacket,CompressedGamePackets,79,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCUnitPointsPacket,SCAiAggroPacket,76,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
skill:skill_requested,CSStartSkillPacket,76,2,"combat_basic_melee,quest_accept_and_turnin"
SCUnitPointsPacket,CompressedGamePackets,64,3,"combat_basic_melee,quest_accept_and_turnin,use_bag_consumable"
SCUnitPointsPacket,FastPongPacket,64,2,"combat_basic_melee,quest_accept_and_turnin"
SCUnitPointsPacket,movement,62,3,"combat_basic_melee,quest_accept_and_turnin,use_bag_consumable"
skill:skill_requested,skill:instant_cast,61,6,"combat_basic_melee,combat_basic_ranged,mount_horse,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
SCSkillEndedPacket,FastPongPacket,54,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCSkillFiredPacket,CSStartSkillPacket,52,2,"combat_basic_ranged,quest_accept_and_turnin"
SCUnitStatePacket,SCUnitPointsPacket,52,2,"quest_accept_and_turnin,use_bag_consumable"
SCUnitPointsPacket,SCUnitHealedPacket,51,2,"combat_basic_melee,quest_accept_and_turnin"
SCUnitHealedPacket,SCUnitPointsPacket,51,2,"combat_basic_melee,quest_accept_and_turnin"
SCUnitPointsPacket,SCUnitStatePacket,34,1,quest_accept_and_turnin
CSStartSkillPacket,movement,27,8,"combat_basic_melee,combat_basic_ranged,harvest_chicken,human_potato_plant,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
SCChatMessagePacket,CSChangeTargetPacket,24,9,"combat_basic_melee,combat_basic_ranged,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,talk_npc"
FastPingPacket,skill:instant_cast,22,2,"combat_basic_melee,quest_accept_and_turnin"
CompressedGamePackets,FastPongPacket,22,1,quest_accept_and_turnin
SCUnitsRemovedPacket,SCDoodadsRemovedPacket,21,2,"combat_basic_melee,quest_accept_and_turnin"
FastPingPacket,SCBuffRemovedPacket,21,2,"combat_basic_melee,quest_accept_and_turnin"
movement,SCChatMessagePacket,21,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,human_potato_plant,pick_potato,quest_accept_and_turnin,sell_items"
CSStartSkillPacket,SCTargetChangedPacket,21,2,"mount_horse,quest_accept_and_turnin"
SCUnitDamagedPacket,SCAiAggroPacket,19,1,quest_accept_and_turnin
SCBuffRemovedPacket,FastPongPacket,18,2,"combat_basic_melee,quest_accept_and_turnin"
SCBuffCreatedPacket,SCSkillEndedPacket,18,2,"combat_basic_ranged,quest_accept_and_turnin"
SCChatMessagePacket,CSSendChatMessagePacket,17,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc"
CSSendChatMessagePacket,movement,17,10,"buy_chick,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,place_chick,sell_items,summon_dismiss_pet,talk_npc"
SCTargetChangedPacket,SCChatMessagePacket,17,7,"combat_basic_melee,harvest_chicken,human_potato_plant,mount_horse,quest_accept_and_turnin,sell_items,talk_npc"
SCDoodadsRemovedPacket,SCUnitsRemovedPacket,16,2,"combat_basic_melee,quest_accept_and_turnin"
SCDoodadsCreatedPacket,movement,16,4,"combat_basic_melee,human_potato_plant,pick_potato,quest_accept_and_turnin"
SCSkillFiredPacket,SCBuffCreatedPacket,16,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCUnitPointsPacket,SCTargetChangedPacket,16,2,"combat_basic_melee,quest_accept_and_turnin"
movement,CSCreateSkillControllerPacket,16,4,"dismount_horse,mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
CSCreateSkillControllerPacket,movement,16,4,"dismount_horse,mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
SCUnitPointsPacket,SCUnitDamagedPacket,16,1,quest_accept_and_turnin
FastPingPacket,CompressedGamePackets,15,1,quest_accept_and_turnin
FastPingPacket,SCBuffCreatedPacket,15,1,quest_accept_and_turnin
SCDoodadsRemovedPacket,SCDoodadsCreatedPacket,13,4,"combat_basic_melee,human_potato_plant,pick_potato,quest_accept_and_turnin"
CSChangeTargetPacket,movement,12,6,"combat_basic_melee,combat_basic_ranged,harvest_chicken,human_potato_plant,pick_potato,quest_accept_and_turnin"
SCAiAggroPacket,SCCombatFirstHitPacket,12,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
movement,CompressedGamePackets,12,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCUnitPointsPacket,SCDoodadsCreatedPacket,12,1,quest_accept_and_turnin
movement,SCDoodadsRemovedPacket,11,3,"human_potato_plant,pick_potato,quest_accept_and_turnin"
SCTargetChangedPacket,SCUnitPointsPacket,10,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
CompressedGamePackets,SCPlotEndedPacket,10,1,quest_accept_and_turnin
SCAiAggroPacket,CSInteractNPCPacket,9,6,"buy_chick,combat_basic_melee,human_potato_plant,quest_accept_and_turnin,sell_items,talk_npc"
CSInteractNPCPacket,movement,9,6,"buy_chick,combat_basic_melee,human_potato_plant,quest_accept_and_turnin,sell_items,talk_npc"
movement,SCUnitsRemovedPacket,9,2,"combat_basic_melee,quest_accept_and_turnin"
SCSkillEndedPacket,CSStartSkillPacket,9,5,"combat_basic_melee,mount_horse,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
SCDoodadsCreatedPacket,SCUnitStatePacket,9,1,quest_accept_and_turnin
SCNpcInteractionSkillListPacket,CSStartInteractionPacket,8,6,"buy_chick,combat_basic_melee,human_potato_plant,quest_accept_and_turnin,sell_items,talk_npc"
SCCombatFirstHitPacket,movement,8,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCAggroTargetChangedPacket,SCTargetChangedPacket,8,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
CompressedGamePackets,movement,8,2,"combat_basic_ranged,quest_accept_and_turnin"
movement,SCUnitStatePacket,8,3,"mount_horse,quest_accept_and_turnin,use_bag_consumable"
CSStartInteractionPacket,SCAiAggroPacket,7,5,"buy_chick,combat_basic_melee,human_potato_plant,sell_items,talk_npc"
SCChatMessagePacket,SCAggroTargetChangedPacket,7,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCAiAggroPacket,SCCombatClearedPacket,7,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCCombatClearedPacket,SCTargetChangedPacket,7,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
SCBuffCreatedPacket,CompressedGamePackets,7,1,quest_accept_and_turnin
SCPlotEndedPacket,FastPongPacket,7,1,quest_accept_and_turnin
CSStartSkillPacket,skill:skill_requested,7,1,quest_accept_and_turnin
movement,SCBuffCreatedPacket,7,1,quest_accept_and_turnin
SCBuffCreatedPacket,FastPongPacket,7,1,quest_accept_and_turnin
movement,SCItemTaskSuccessPacket,6,5,"buy_chick,human_potato_plant,place_chick,quest_accept_and_turnin,sell_items"
SCSkillEndedPacket,SCTargetChangedPacket,6,2,"combat_basic_melee,quest_accept_and_turnin"
movement,skill:instant_cast,6,2,"combat_basic_melee,quest_accept_and_turnin"
SCUnitDeathPacket,SCAiAggroPacket,6,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
movement,SCAiAggroPacket,6,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
movement,SCSkillEndedPacket,6,3,"combat_basic_ranged,dismount_horse,quest_accept_and_turnin"
SCUnitPointsPacket,SCCombatClearedPacket,6,2,"combat_basic_ranged,quest_accept_and_turnin"
SCCombatClearedPacket,SCBuffRemovedPacket,6,2,"combat_basic_ranged,quest_accept_and_turnin"
SCBuffRemovedPacket,SCUnitDeathPacket,6,2,"combat_basic_ranged,quest_accept_and_turnin"
skill:skill_requested,SCSkillStartedPacket,6,1,quest_accept_and_turnin
SCSkillStartedPacket,refusal:skill_refused,6,1,quest_accept_and_turnin
refusal:skill_refused,CSStartSkillPacket,6,1,quest_accept_and_turnin
SCBuffCreatedPacket,SCUnitPointsPacket,5,2,"combat_basic_melee,quest_accept_and_turnin"
SCUnitPointsPacket,skill:skill_requested,5,2,"combat_basic_melee,quest_accept_and_turnin"
SCDoodadPhaseChangedPacket,world:doodad_phase_changed,5,2,"harvest_chicken,human_potato_plant"
CSCreateSkillControllerPacket,SCTargetChangedPacket,5,2,"mount_horse,quest_accept_and_turnin"
movement,CSNotifySubZonePacket,5,1,quest_accept_and_turnin
CSNotifySubZonePacket,movement,5,1,quest_accept_and_turnin
CompressedGamePackets,SCUnitPointsPacket,5,1,quest_accept_and_turnin
movement,SCBuffRemovedPacket,5,1,quest_accept_and_turnin
FastPingPacket,skill:skill_requested,5,1,quest_accept_and_turnin
SCBuffRemovedPacket,movement,5,1,quest_accept_and_turnin
CompressedGamePackets,SCTargetChangedPacket,5,1,quest_accept_and_turnin
movement,SCNpcInteractionSkillListPacket,4,3,"buy_chick,combat_basic_melee,talk_npc"
SCItemTaskSuccessPacket,resource:money_changed,4,4,"buy_chick,human_potato_plant,quest_accept_and_turnin,sell_items"
SCChatMessagePacket,movement,4,4,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin,use_bag_consumable"
SCCombatFirstHitPacket,CompressedGamePackets,4,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
FastPingPacket,SCUnitDamagedPacket,4,2,"combat_basic_ranged,quest_accept_and_turnin"
SCUnitDamagedPacket,SCSkillEndedPacket,4,2,"combat_basic_ranged,quest_accept_and_turnin"
FastPongPacket,movement,4,2,"combat_basic_ranged,quest_accept_and_turnin"
movement,FastPingPacket,4,2,"combat_basic_ranged,quest_accept_and_turnin"
CSChangeTargetPacket,SCNpcInteractionSkillListPacket,4,4,"human_potato_plant,quest_accept_and_turnin,sell_items,talk_npc"
SCSkillFiredPacket,SCItemTaskSuccessPacket,4,3,"mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
SCItemTaskSuccessPacket,SCMateSpawnedPacket,4,3,"mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
SCUnitStatePacket,SCMateStatePacket,4,3,"mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
SCMateStatePacket,SCUnitPointsPacket,4,3,"mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
SCUnitPointsPacket,SCSkillEndedPacket,4,3,"mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
SCTargetChangedPacket,CSChangeMateTargetPacket,4,3,"mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
FastPingPacket,CSCreateSkillControllerPacket,4,1,quest_accept_and_turnin
SCAiAggroPacket,SCBuffCreatedPacket,4,1,quest_accept_and_turnin
SCBuffCreatedPacket,SCTargetChangedPacket,4,1,quest_accept_and_turnin
SCBuffRemovedPacket,SCTargetChangedPacket,4,1,quest_accept_and_turnin
SCSkillEndedPacket,skill:skill_requested,4,1,quest_accept_and_turnin
resource:money_changed,SCItemTaskSuccessPacket,3,3,"buy_chick,human_potato_plant,quest_accept_and_turnin"
SCTargetChangedPacket,FastPongPacket,3,2,"combat_basic_melee,quest_accept_and_turnin"
SCSkillFiredPacket,movement,3,2,"dismount_horse,quest_accept_and_turnin"
SCChatMessagePacket,SCUnitDetachedPacket,3,2,"dismount_horse,quest_accept_and_turnin"
SCUnitDetachedPacket,CSUnMountMatePacket,3,2,"dismount_horse,quest_accept_and_turnin"
CSUnMountMatePacket,movement,3,2,"dismount_horse,quest_accept_and_turnin"
skill:skill_requested,skill:cast_started,3,3,"harvest_chicken,human_potato_plant,pick_potato"
skill:cast_started,SCSkillStartedPacket,3,3,"harvest_chicken,human_potato_plant,pick_potato"
SCSkillStartedPacket,CSStartSkillPacket,3,3,"harvest_chicken,human_potato_plant,pick_potato"
SCSkillFiredPacket,interaction:doodad_use,3,3,"harvest_chicken,human_potato_plant,pick_potato"
world:doodad_phase_changed,SCItemTaskSuccessPacket,3,3,"harvest_chicken,human_potato_plant,pick_potato"
SCExpChangedPacket,SCErrorMsgPacket,3,3,"harvest_chicken,pick_potato,quest_accept_and_turnin"
CSInteractNPCEndPacket,movement,3,3,"human_potato_plant,quest_accept_and_turnin,talk_npc"
CSChangeMateTargetPacket,movement,3,3,"mount_horse,quest_accept_and_turnin,summon_dismiss_pet"
CSChangeTargetPacket,CSCreateSkillControllerPacket,3,2,"mount_horse,quest_accept_and_turnin"
SCUnitAttachedPacket,SCChatMessagePacket,3,2,"mount_horse,quest_accept_and_turnin"
SCChatMessagePacket,CSMountMatePacket,3,2,"mount_horse,quest_accept_and_turnin"
CSMountMatePacket,movement,3,2,"mount_horse,quest_accept_and_turnin"
SCQuestContextUpdatedPacket,movement,3,1,quest_accept_and_turnin
SCDoodadsRemovedPacket,SCUnitStatePacket,3,1,quest_accept_and_turnin
SCBuffCreatedPacket,movement,3,1,quest_accept_and_turnin
CSCreateSkillControllerPacket,SCUnitsRemovedPacket,3,2,"quest_accept_and_turnin,summon_dismiss_pet"
SCUnitsRemovedPacket,CSRemoveMatePacket,3,2,"quest_accept_and_turnin,summon_dismiss_pet"
CSRemoveMatePacket,movement,3,2,"quest_accept_and_turnin,summon_dismiss_pet"
SCTargetChangedPacket,SCCombatFirstHitPacket,3,1,quest_accept_and_turnin
SCSkillEndedPacket,SCUnitPointsPacket,3,1,quest_accept_and_turnin
movement,SCUnitDamagedPacket,3,1,quest_accept_and_turnin
SCPlotEndedPacket,movement,3,1,quest_accept_and_turnin
SCUnitsRemovedPacket,movement,3,1,quest_accept_and_turnin
SCItemTaskSuccessPacket,CSBuyItemsPacket,2,2,"buy_chick,human_potato_plant"
FastPongPacket,SCTargetChangedPacket,2,2,"combat_basic_melee,combat_basic_ranged"
SCTargetChangedPacket,FastPingPacket,2,2,"combat_basic_melee,combat_basic_ranged"
FastPingPacket,SCChatMessagePacket,2,2,"combat_basic_melee,quest_accept_and_turnin"
SCChatMessagePacket,SCQuestContextUpdatedPacket,2,2,"combat_basic_melee,quest_accept_and_turnin"
FastPingPacket,SCQuestContextUpdatedPacket,2,2,"combat_basic_melee,quest_accept_and_turnin"
SCAiAggroPacket,movement,2,2,"combat_basic_ranged,quest_accept_and_turnin"
SCQuestContextUpdatedPacket,FastPongPacket,2,2,"combat_basic_ranged,quest_accept_and_turnin"
interaction:doodad_use,SCDoodadPhaseChangedPacket,2,2,"harvest_chicken,human_potato_plant"
SCErrorMsgPacket,resource:labor_changed,2,2,"harvest_chicken,pick_potato"
resource:labor_changed,SCCharacterLaborPowerChangedPacket,2,2,"harvest_chicken,pick_potato"
SCCharacterLaborPowerChangedPacket,SCGamePointChangedPacket,2,2,"harvest_chicken,pick_potato"
SCGamePointChangedPacket,SCSkillEndedPacket,2,2,"harvest_chicken,pick_potato"
movement,CSInteractNPCEndPacket,2,2,"human_potato_plant,quest_accept_and_turnin"
movement,world:doodad_phase_changed,2,2,"human_potato_plant,pick_potato"
world:doodad_phase_changed,SCDoodadCreatedPacket,2,2,"human_potato_plant,place_chick"
SCDoodadCreatedPacket,world:doodad_created,2,2,"human_potato_plant,place_chick"
world:doodad_created,CSCreateDoodadPacket,2,2,"human_potato_plant,place_chick"
CSCreateDoodadPacket,movement,2,2,"human_potato_plant,place_chick"
interaction:doodad_use,movement,2,2,"human_potato_plant,pick_potato"
movement,SCDoodadPhaseChangedPacket,2,2,"human_potato_plant,pick_potato"
SCItemTaskSuccessPacket,SCSkillEndedPacket,2,2,"human_potato_plant,use_bag_consumable"
CSChangeTargetPacket,SCUnitAttachedPacket,2,2,"mount_horse,quest_accept_and_turnin"
SCMateSpawnedPacket,SCUnitStatePacket,2,2,"quest_accept_and_turnin,summon_dismiss_pet"
FastPingPacket,SCUnitStatePacket,2,1,quest_accept_and_turnin
SCTargetChangedPacket,SCSkillStartedPacket,2,1,quest_accept_and_turnin
SCSkillStartedPacket,movement,2,1,quest_accept_and_turnin
SCCastingStoppedPacket,SCSkillEndedPacket,2,1,quest_accept_and_turnin
FastPongPacket,CompressedGamePackets,2,1,quest_accept_and_turnin
CompressedGamePackets,FastPingPacket,2,1,quest_accept_and_turnin
SCBuffCreatedPacket,SCBuffRemovedPacket,2,1,quest_accept_and_turnin
SCBuffRemovedPacket,SCBuffCreatedPacket,2,1,quest_accept_and_turnin
SCCombatFirstHitPacket,FastPongPacket,2,1,quest_accept_and_turnin
SCUnitsRemovedPacket,FastPongPacket,2,1,quest_accept_and_turnin
SCQuestContextUpdatedPacket,SCTargetChangedPacket,2,1,quest_accept_and_turnin
CSStartSkillPacket,CompressedGamePackets,2,1,quest_accept_and_turnin
CompressedGamePackets,SCBuffCreatedPacket,2,1,quest_accept_and_turnin
SCSoldItemListPacket,CSListSoldItemPacket,2,1,sell_items
CSBuyItemsPacket,SCTutorialSavedPacket,1,1,buy_chick
SCTutorialSavedPacket,CSSaveTutorialPacket,1,1,buy_chick
CSSaveTutorialPacket,movement,1,1,buy_chick
CSStartSkillPacket,SCChatMessagePacket,1,1,combat_basic_melee
SCSkillFiredPacket,FastPongPacket,1,1,combat_basic_melee
SCUnitPointsPacket,SCQuestContextStartedPacket,1,1,combat_basic_melee
SCQuestContextStartedPacket,SCTargetChangedPacket,1,1,combat_basic_melee
SCQuestContextUpdatedPacket,SCCombatClearedPacket,1,1,combat_basic_melee
SCCombatClearedPacket,SCUnitDeathPacket,1,1,combat_basic_melee
SCQuestContextUpdatedPacket,SCUnitPointsPacket,1,1,combat_basic_melee
SCSkillEndedPacket,SCQuestContextUpdatedPacket,1,1,combat_basic_ranged
SCItemTaskSuccessPacket,SCDoodadPhaseChangedPacket,1,1,harvest_chicken
world:doodad_phase_changed,SCExpChangedPacket,1,1,harvest_chicken
CSBuyItemsPacket,movement,1,1,human_potato_plant
SCItemTaskSuccessPacket,movement,1,1,human_potato_plant
world:doodad_phase_changed,SCDoodadPhaseChangedPacket,1,1,human_potato_plant
world:doodad_phase_changed,interaction:doodad_use,1,1,human_potato_plant
movement,marker:planted,1,1,human_potato_plant
marker:planted,SCChatMessagePacket,1,1,human_potato_plant
SCMateSpawnedPacket,movement,1,1,mount_horse
SCDoodadPhaseChangedPacket,movement,1,1,pick_potato
SCItemTaskSuccessPacket,SCDoodadRemovedPacket,1,1,pick_potato
SCDoodadRemovedPacket,SCExpChangedPacket,1,1,pick_potato
movement,SCICSCashPointPacket,1,1,pick_potato
SCICSCashPointPacket,SCBmPointPacket,1,1,pick_potato
SCBmPointPacket,movement,1,1,pick_potato
SCItemTaskSuccessPacket,world:doodad_phase_changed,1,1,place_chick
movement,SCQuestContextStartedPacket,1,1,quest_accept_and_turnin
SCQuestContextStartedPacket,SCChatMessagePacket,1,1,quest_accept_and_turnin
SCQuestContextUpdatedPacket,CSStartQuestContextPacket,1,1,quest_accept_and_turnin
CSStartQuestContextPacket,movement,1,1,quest_accept_and_turnin
SCItemTaskSuccessPacket,SCQuestContextUpdatedPacket,1,1,quest_accept_and_turnin
movement,SCNpcChatMessagePacket,1,1,quest_accept_and_turnin
SCNpcChatMessagePacket,SCPlaySoundPacket,1,1,quest_accept_and_turnin
SCPlaySoundPacket,movement,1,1,quest_accept_and_turnin
movement,SCUnitAttachedPacket,1,1,quest_accept_and_turnin
SCSkillFiredPacket,SCDoodadCreatedPacket,1,1,quest_accept_and_turnin
SCDoodadCreatedPacket,SCBuffCreatedPacket,1,1,quest_accept_and_turnin
SCSkillEndedPacket,SCBuffCreatedPacket,1,1,quest_accept_and_turnin
movement,SCAggroTargetChangedPacket,1,1,quest_accept_and_turnin
movement,SCCastingStoppedPacket,1,1,quest_accept_and_turnin
SCSkillEndedPacket,SCCastingStoppedPacket,1,1,quest_accept_and_turnin
SCBuffCreatedPacket,skill:skill_requested,1,1,quest_accept_and_turnin
CSStartSkillPacket,skill:instant_cast,1,1,quest_accept_and_turnin
SCUnitStatePacket,movement,1,1,quest_accept_and_turnin
SCUnitStatePacket,SCDoodadCreatedPacket,1,1,quest_accept_and_turnin
SCDoodadCreatedPacket,movement,1,1,quest_accept_and_turnin
movement,SCQuestContextUpdatedPacket,1,1,quest_accept_and_turnin
CSChangeTargetPacket,SCTargetChangedPacket,1,1,quest_accept_and_turnin
SCSkillEndedPacket,SCBuffRemovedPacket,1,1,quest_accept_and_turnin
SCUnitPointsPacket,SCQuestContextUpdatedPacket,1,1,quest_accept_and_turnin
FastPingPacket,SCDoodadRemovedPacket,1,1,quest_accept_and_turnin
SCDoodadRemovedPacket,SCUnitsRemovedPacket,1,1,quest_accept_and_turnin
SCUnitsRemovedPacket,SCDoodadRemovedPacket,1,1,quest_accept_and_turnin
SCDoodadRemovedPacket,SCTargetChangedPacket,1,1,quest_accept_and_turnin
SCPlotEndedPacket,SCTargetChangedPacket,1,1,quest_accept_and_turnin
FastPingPacket,SCUnitsRemovedPacket,1,1,quest_accept_and_turnin
SCUnitDeathPacket,SCQuestContextUpdatedPacket,1,1,quest_accept_and_turnin
SCQuestContextUpdatedPacket,SCAiAggroPacket,1,1,quest_accept_and_turnin
SCCombatClearedPacket,SCQuestContextUpdatedPacket,1,1,quest_accept_and_turnin
CSChangeTargetPacket,FastPongPacket,1,1,quest_accept_and_turnin
SCAiAggroPacket,SCTargetChangedPacket,1,1,quest_accept_and_turnin
SCBuffRemovedPacket,skill:instant_cast,1,1,quest_accept_and_turnin
SCAiAggroPacket,FastPongPacket,1,1,quest_accept_and_turnin
CompressedGamePackets,CSCreateSkillControllerPacket,1,1,quest_accept_and_turnin
SCCombatFirstHitPacket,SCBuffCreatedPacket,1,1,quest_accept_and_turnin
SCPlotEndedPacket,SCQuestContextUpdatedPacket,1,1,quest_accept_and_turnin
FastPingPacket,SCICSCashPointPacket,1,1,quest_accept_and_turnin
SCICSCashPointPacket,FastPongPacket,1,1,quest_accept_and_turnin
movement,SCBmPointPacket,1,1,quest_accept_and_turnin
SCBmPointPacket,skill:skill_requested,1,1,quest_accept_and_turnin
SCBuffCreatedPacket,SCPlotEndedPacket,1,1,quest_accept_and_turnin
SCSkillFiredPacket,SCChatBubblePacket,1,1,quest_accept_and_turnin
SCChatBubblePacket,FastPongPacket,1,1,quest_accept_and_turnin
FastPingPacket,SCPlotEndedPacket,1,1,quest_accept_and_turnin
SCBuffCreatedPacket,SCUnitsRemovedPacket,1,1,quest_accept_and_turnin
SCUnitsRemovedPacket,SCTargetChangedPacket,1,1,quest_accept_and_turnin
CSStartSkillPacket,SCUnitPointsPacket,1,1,quest_accept_and_turnin
SCMateSpawnedPacket,SCTargetChangedPacket,1,1,quest_accept_and_turnin
CSChangeMateTargetPacket,SCTargetChangedPacket,1,1,quest_accept_and_turnin
SCTargetChangedPacket,SCCombatClearedPacket,1,1,quest_accept_and_turnin
CSStartInteractionPacket,movement,1,1,quest_accept_and_turnin
movement,CSCompleteQuestContextPacket,1,1,quest_accept_and_turnin
CSCompleteQuestContextPacket,SCQuestContextUpdatedPacket,1,1,quest_accept_and_turnin
SCQuestContextUpdatedPacket,SCItemTaskSuccessPacket,1,1,quest_accept_and_turnin
SCItemTaskSuccessPacket,SCExpChangedPacket,1,1,quest_accept_and_turnin
SCErrorMsgPacket,SCItemTaskSuccessPacket,1,1,quest_accept_and_turnin
SCItemTaskSuccessPacket,SCChatMessagePacket,1,1,quest_accept_and_turnin
SCChatMessagePacket,SCQuestContextCompletedPacket,1,1,quest_accept_and_turnin
SCQuestContextCompletedPacket,movement,1,1,quest_accept_and_turnin
movement,CSUpdateActionSlotPacket,1,1,quest_accept_and_turnin
CSUpdateActionSlotPacket,SCBuffRemovedPacket,1,1,quest_accept_and_turnin
movement,SCGotMailPacket,1,1,sell_items
SCGotMailPacket,movement,1,1,sell_items
resource:money_changed,CSSellItemsPacket,1,1,sell_items
CSSellItemsPacket,SCSoldItemListPacket,1,1,sell_items
CSListSoldItemPacket,SCSoldItemListPacket,1,1,sell_items
CSListSoldItemPacket,movement,1,1,sell_items
CSChangeTargetPacket,CSInteractNPCEndPacket,1,1,talk_npc
