scenario_a,scenario_b,jaccard_similarity,transition_overlap,shared_items_count,distinct_items_count,label
harvest_chicken,pick_potato,0.8421,0.5128,32,6,POSSIBLE RELATED ACTIONS
mount_horse,summon_dismiss_pet,0.7812,0.5152,25,7,POSSIBLE RELATED ACTIONS
sell_items,talk_npc,0.7407,0.4348,20,7,POSSIBLE RELATED ACTIONS
combat_basic_melee,combat_basic_ranged,0.7143,0.4111,30,12,POSSIBLE RELATED ACTIONS
mount_horse,use_bag_consumable,0.6897,0.1892,20,9,POSSIBLE RELATED ACTIONS
summon_dismiss_pet,use_bag_consumable,0.6667,0.2258,20,10,POSSIBLE RELATED ACTIONS
buy_chick,sell_items,0.6207,0.3077,18,11,POSSIBLE RELATED ACTIONS
buy_chick,talk_npc,0.6154,0.35,16,10,POSSIBLE RELATED ACTIONS
dismount_horse,summon_dismiss_pet,0.5938,0.1935,19,13,POSSIBLE RELATED ACTIONS
human_potato_plant,pick_potato,0.5918,0.3898,29,20,POSSIBLE RELATED ACTIONS
combat_basic_ranged,use_bag_consumable,0.5758,0.1333,19,14,POSSIBLE RELATED ACTIONS
harvest_chicken,human_potato_plant,0.5652,0.3273,26,20,POSSIBLE RELATED ACTIONS
combat_basic_melee,quest_accept_and_turnin,0.5616,0.2689,41,32,POSSIBLE RELATED ACTIONS
dismount_horse,talk_npc,0.5357,0.12,15,13,POSSIBLE RELATED ACTIONS
dismount_horse,use_bag_consumable,0.5357,0.1071,15,13,POSSIBLE RELATED ACTIONS
harvest_chicken,summon_dismiss_pet,0.525,0.1463,21,19,POSSIBLE RELATED ACTIONS
dismount_horse,mount_horse,0.5152,0.1622,17,16,POSSIBLE RELATED ACTIONS
harvest_chicken,use_bag_consumable,0.5143,0.1081,18,17,POSSIBLE RELATED ACTIONS
dismount_horse,harvest_chicken,0.5,0.1765,18,18,POSSIBLE RELATED ACTIONS
harvest_chicken,mount_horse,0.5,0.1522,20,20,POSSIBLE RELATED ACTIONS
human_potato_plant,talk_npc,0.4878,0.22,20,21,POSSIBLE RELATED ACTIONS
buy_chick,place_chick,0.48,0.1579,12,13,POSSIBLE RELATED ACTIONS
combat_basic_ranged,mount_horse,0.475,0.0811,19,21,POSSIBLE RELATED ACTIONS
combat_basic_melee,human_potato_plant,0.4727,0.1604,26,29,POSSIBLE RELATED ACTIONS
human_potato_plant,sell_items,0.4667,0.2364,21,24,POSSIBLE RELATED ACTIONS
dismount_horse,pick_potato,0.4634,0.1951,19,22,POSSIBLE RELATED ACTIONS
pick_potato,summon_dismiss_pet,0.4565,0.12,21,25,POSSIBLE RELATED ACTIONS
dismount_horse,sell_items,0.4545,0.129,15,18,POSSIBLE RELATED ACTIONS
combat_basic_melee,use_bag_consumable,0.4419,0.1519,19,24,POSSIBLE RELATED ACTIONS
