pattern_type,sequence,count,scenarios_count,scenarios
2-gram,FastPongPacket -> FastPingPacket,4078,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,FastPingPacket -> FastPongPacket,2575,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,SCTargetChangedPacket -> movement,1720,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,human_potato_plant,pick_potato,quest_accept_and_turnin,use_bag_consumable"
2-gram,movement -> FastPongPacket,1239,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,movement -> SCTargetChangedPacket,1220,12,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,sell_items,summon_dismiss_pet,talk_npc,use_bag_consumable"
2-gram,FastPingPacket -> movement,844,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,FastPingPacket -> SCTargetChangedPacket,454,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,SCUnitPointsPacket -> SCSkillFiredPacket,165,10,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
2-gram,movement -> SCUnitPointsPacket,153,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,pick_potato,quest_accept_and_turnin"
2-gram,CompressedGamePackets -> SCSkillEndedPacket,129,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,movement -> skill:skill_requested,123,9,"combat_basic_melee,combat_basic_ranged,harvest_chicken,human_potato_plant,mount_horse,pick_potato,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
2-gram,FastPingPacket -> SCUnitPointsPacket,117,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,skill:instant_cast -> SCUnitPointsPacket,91,6,"combat_basic_melee,combat_basic_ranged,mount_horse,quest_accept_and_turnin,summon_dismiss_pet,use_bag_consumable"
2-gram,SCSkillEndedPacket -> movement,87,7,"combat_basic_melee,combat_basic_ranged,dismount_horse,harvest_chicken,human_potato_plant,pick_potato,quest_accept_and_turnin"
2-gram,CSStartSkillPacket -> FastPongPacket,86,2,"combat_basic_ranged,quest_accept_and_turnin"
2-gram,SCSkillFiredPacket -> SCUnitPointsPacket,84,3,"combat_basic_melee,quest_accept_and_turnin,use_bag_consumable"
2-gram,SCAiAggroPacket -> CompressedGamePackets,79,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,SCUnitPointsPacket -> SCAiAggroPacket,76,3,"combat_basic_melee,combat_basic_ranged,quest_accept_and_turnin"
2-gram,skill:skill_requested -> CSStartSkillPacket,76,2,"combat_basic_melee,quest_accept_and_turnin"
2-gram,SCUnitPointsPacket -> CompressedGamePackets,64,3,"combat_basic_melee,quest_accept_and_turnin,use_bag_consumable"
2-gram,SCUnitPointsPacket -> FastPongPacket,64,2,"combat_basic_melee,quest_accept_and_turnin"
2-gram,SCUnitPointsPacket -> movement,62,3,"combat_basic_melee,quest_accept_and_turnin,use_bag_consumable"
